YEAR,FACILITY NAME,STREET ADDRESS,CITY,COUNTY,STATE,ZIP,addresses,LATITUDE,LONGITUDE,FEDERAL FACILITY,INDUSTRY SECTOR,CHEMICAL,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,METAL,METAL CATEGORY,CARCINOGEN,PROD_RATIO_OR_ ACTIVITY,PARENT CO NAME
2018,SCHILLER STATION,400 GOSLING RD,PORTSMOUTH,ROCKINGHAM,NH,03801,400 GOSLING RD PORTSMOUTH NH 3801,43.09726,-70.783801,NO,Electric Utilities,MANGANESE  and MANGANESE COMPOUNDS,YES,TRI,YES,1,NO,PRODUCTION,GSP SCHILLER LLC
2018,GE CO,9 INDUSTRIAL PARK DR,HOOKSETT,MERRIMACK,NH,03106,9 INDUSTRIAL PARK DR HOOKSETT NH 3106,43.061504,-71.447873,NO,Transportation Equipment,NICKEL,YES,TRI,YES,1,YES,PRODUCTION,GENERAL ELECTRIC CO (GE CO)
2018,LONZA BIOLOGICS INC,101 INTERNATIONAL DR,PORTSMOUTH,ROCKINGHAM,NH,03801,101 INTERNATIONAL DR PORTSMOUTH NH 3801,43.082587,-70.803924,NO,Chemicals,ETHYLENE GLYCOL,YES,TRI,NO,0,NO,PRODUCTION,NA
2018,PSI MOLDED PLASTICS FORMERLY KNOWN AS GI PLASTEK,5 WICKERS DR,WOLFEBORO,CARROLL,NH,03894,5 WICKERS DR WOLFEBORO NH 3894,43.60513,-71.212805,NO,Plastics and Rubber,PROPYLENE,NO,TRI,NO,0,NO,,PSI MOLDED PLASTICS NEW HAMPSHIRE INC
2018,NEW NGC INC D/B/A NATIONAL GYPSUM CO,9 MICHAEL J SUCCI DRIVE,PORTSMOUTH,ROCKINGHAM,NH,03802,9 MICHAEL J SUCCI DRIVE PORTSMOUTH NH 3802,43.088056,-70.767222,NO,Nonmetallic Mineral Product,LEAD COMPOUNDS,YES,PBT,YES,1,NO,PRODUCTION,NEW NGC INC
2018,NEW ENGLAND WIRE TECHNOLOGIES,130 N MAIN ST,LISBON,GRAFTON,NH,03585,130 N MAIN ST LISBON NH 3585,44.21562,-71.9062,NO,Primary Metals,COPPER,NO,TRI,YES,1,NO,PRODUCTION,MJM HOLDINGS INC
2018,CHEMTAN CO INC,57 HAMPTON RD,EXETER,ROCKINGHAM,NH,03833,57 HAMPTON RD EXETER NH 3833,42.97055,-70.89849,NO,Chemical Wholesalers,FORMIC ACID,NO,TRI,NO,0,NO,ACTIVITY,NA
2018,SCHILLER STATION,400 GOSLING RD,PORTSMOUTH,ROCKINGHAM,NH,03801,400 GOSLING RD PORTSMOUTH NH 3801,43.09726,-70.783801,NO,Electric Utilities,"BENZO(G,H,I)PERYLENE",YES,PBT,NO,0,NO,PRODUCTION,GSP SCHILLER LLC
2018,HITCHINER MANUFACTURING CO INC (AUTOMATED CASTING FACILITY),1 SCARBOROUGH LN,MILFORD,HILLSBOROUGH,NH,03055,1 SCARBOROUGH LN MILFORD NH 3055,42.83577,-71.70675,NO,Primary Metals,COBALT,YES,TRI,YES,1,YES,PRODUCTION,HITCHINER MANUFACTURING CO INC
2018,SIG SAUER INC,72 PEASE BLVD,NEWINGTON,ROCKINGHAM,NH,03801,72 PEASE BLVD NEWINGTON NH 3801,43.087945,-70.811239,NO,Fabricated Metals,CHROMIUM,YES,TRI,YES,1,NO,PRODUCTION,NA
2018,STURM RUGER & CO INC,411 SUNAPEE ST,NEWPORT,SULLIVAN,NH,03773,411 SUNAPEE ST NEWPORT NH 3773,43.379828,-72.152415,NO,Fabricated Metals,CHROMIUM,YES,TRI,YES,1,NO,PRODUCTION,STURM RUGER & CO INC
2018,RENEWABLE FUELS BY PETERSON LLC,35 BUSINESS PARK RD,NORTH HAVERHILL,GRAFTON,NH,03774,35 BUSINESS PARK RD NORTH HAVERHILL NH 3774,44.077037,-72.004727,NO,Chemicals,METHANOL,YES,TRI,NO,0,NO,PRODUCTION,PETERSON'S OIL SERVICE INC.
2018,AAVID THERMALLOY LLC,1 AAVID CIR,LACONIA,BELKNAP,NH,03246,1 AAVID CIR LACONIA NH 3246,43.54687,-71.491314,NO,Computers and Electronic Products,COPPER,NO,TRI,YES,1,NO,PRODUCTION,LTI HOLDINGS INC
2018,AMPHENOL APC INC,91 NORTHEASTERN BLVD,NASHUA,HILLSBOROUGH,NH,03062,91 NORTHEASTERN BLVD NASHUA NH 3062,42.738005,-71.489815,NO,Computers and Electronic Products,FORMALDEHYDE,YES,TRI,NO,0,YES,PRODUCTION,AMPHENOL CORP
2018,RAPID SHEET METAL LLC,104 PERIMETER RD,NASHUA,HILLSBOROUGH,NH,03063,104 PERIMETER RD NASHUA NH 3063,42.78039,-71.51966,NO,Fabricated Metals,ALUMINUM (FUME OR DUST),NO,TRI,NO,4,NO,PRODUCTION,NA
2018,WATTS REGULATOR CO DBA WEBSTER VALVE,583 S MAIN ST,FRANKLIN,MERRIMACK,NH,03235,583 S MAIN ST FRANKLIN NH 3235,43.42499,-71.65416,NO,Fabricated Metals,,YES,TRI,YES,1,NO,ACTIVITY,WATTS WATER TECHNOLOGIES
2018,SCHILLER STATION,400 GOSLING RD,PORTSMOUTH,ROCKINGHAM,NH,03801,400 GOSLING RD PORTSMOUTH NH 3801,43.09726,-70.783801,NO,Electric Utilities,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,TRI,NO,0,NO,PRODUCTION,GSP SCHILLER LLC
2018,SCHILLER STATION,400 GOSLING RD,PORTSMOUTH,ROCKINGHAM,NH,03801,400 GOSLING RD PORTSMOUTH NH 3801,43.09726,-70.783801,NO,Electric Utilities,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,TRI,NO,0,NO,PRODUCTION,GSP SCHILLER LLC
2018,KALWALL CORP FLAT SHEE T DIV,168 RIVER RD,BOW,MERRIMACK,NH,03304,168 RIVER RD BOW NH 3304,43.14775,-71.48759,NO,Plastics and Rubber,STYRENE,YES,TRI,NO,0,YES,PRODUCTION,KALWALL CORP
2018,PIKE INDUSTRIES INC FARMINGTON,383 FARMINGTON RD,FARMINGTON,STRAFFORD,NH,03835,383 FARMINGTON RD FARMINGTON NH 3835,43.407359,-71.020456,NO,Petroleum,POLYCYCLIC AROMATIC COMPOUNDS,YES,PBT,NO,0,YES,PRODUCTION,CRH AMERICAS INC
2018,ALCUMET INC,3 PLANEVIEW DR,LONDONDERRY,ROCKINGHAM,NH,03053,3 PLANEVIEW DR LONDONDERRY NH 3053,42.91688,-71.42067,NO,Primary Metals,COPPER,NO,TRI,YES,1,NO,PRODUCTION,NA
2018,BRONZE CRAFT CORP,37 WILL ST,NASHUA,HILLSBOROUGH,NH,03060,37 WILL ST NASHUA NH 3060,42.752096,-71.485634,NO,Primary Metals,COPPER,NO,TRI,YES,1,NO,ACTIVITY,NA
2018,STURM RUGER & CO INC,411 SUNAPEE ST,NEWPORT,SULLIVAN,NH,03773,411 SUNAPEE ST NEWPORT NH 3773,43.379828,-72.152415,NO,Fabricated Metals,NICKEL,YES,TRI,YES,1,YES,PRODUCTION,STURM RUGER & CO INC
2018,HOLOGIC INC,4 NAVIGATOR RD,LONDONDERRY,ROCKINGHAM,NH,03053,4 NAVIGATOR RD LONDONDERRY NH 3053,42.93079,-71.44865,NO,Chemicals,METHANOL,YES,TRI,NO,0,NO,PRODUCTION,HOLOGIC INC
2018,CANAM STEEL CORP,386 RIVER RD,CLAREMONT,SULLIVAN,NH,03743,386 RIVER RD CLAREMONT NH 3743,43.343422,-72.3877,NO,Fabricated Metals,ZINC (FUME OR DUST),NO,TRI,NO,4,NO,PRODUCTION,CANAM STEEL CORP
2018,APC PAPER CO,130 SULLIVAN ST,CLAREMONT,SULLIVAN,NH,03743,130 SULLIVAN ST CLAREMONT NH 3743,43.37349,-72.34598,NO,Paper,POLYCYCLIC AROMATIC COMPOUNDS,YES,PBT,NO,0,YES,PRODUCTION,APC PAPER CO
2018,IRVING OIL TERMINALS INC,50 PREBLE WAY,PORTSMOUTH,ROCKINGHAM,NH,03801,50 PREBLE WAY PORTSMOUTH NH 3801,43.0901,-70.76689,NO,Petroleum Bulk Terminals,LEAD,YES,PBT,YES,1,YES,PRODUCTION,IRVING OIL TERMINALS INC
2018,IRVING OIL TERMINALS INC,50 PREBLE WAY,PORTSMOUTH,ROCKINGHAM,NH,03801,50 PREBLE WAY PORTSMOUTH NH 3801,43.0901,-70.76689,NO,Petroleum Bulk Terminals,ETHYLBENZENE,YES,TRI,NO,0,YES,PRODUCTION,IRVING OIL TERMINALS INC
2018,WAKEFIELD THERMAL SOLUTIONS INC,33 BRIDGE ST,PELHAM,HILLSBOROUGH,NH,03076,33 BRIDGE ST PELHAM NH 3076,42.70374,-71.31497,NO,Primary Metals,LEAD,YES,PBT,YES,1,YES,ACTIVITY,THE HEICO COS LLC
2018,WATTS REGULATOR CO DBA WEBSTER VALVE,583 S MAIN ST,FRANKLIN,MERRIMACK,NH,03235,583 S MAIN ST FRANKLIN NH 3235,43.42499,-71.65416,NO,Fabricated Metals,COPPER  and COPPER COMPOUNDS,NO,TRI,YES,1,NO,ACTIVITY,WATTS WATER TECHNOLOGIES
2018,KALWALL CORP FLAT SHEE T DIV,168 RIVER RD,BOW,MERRIMACK,NH,03304,168 RIVER RD BOW NH 3304,43.14775,-71.48759,NO,Plastics and Rubber,METHYL METHACRYLATE,YES,TRI,NO,0,NO,PRODUCTION,KALWALL CORP
2018,SCHILLER STATION,400 GOSLING RD,PORTSMOUTH,ROCKINGHAM,NH,03801,400 GOSLING RD PORTSMOUTH NH 3801,43.09726,-70.783801,NO,Electric Utilities,POLYCYCLIC AROMATIC COMPOUNDS,YES,PBT,NO,0,YES,PRODUCTION,GSP SCHILLER LLC
2018,NEW HAMPSHIRE BALL BEARINGS INC,175 JAFFERY RD,PETERBOROUGH,HILLSBOROUGH,NH,03458,175 JAFFERY RD PETERBOROUGH NH 3458,42.856405,-71.963371,NO,Fabricated Metals,METHANOL,YES,TRI,NO,0,NO,PRODUCTION,NMB USA INC
2018,FREUDENBERG-NOK SEALING TECHNOLOGIES,450 PLEASANT ST,BRISTOL,GRAFTON,NH,03222,450 PLEASANT ST BRISTOL NH 3222,43.585476,-71.750525,NO,Miscellaneous Manufacturing,METHYL ISOBUTYL KETONE,YES,TRI,NO,0,YES,PRODUCTION,FREUDENBERG-NOK GENERAL PTNR
2018,PACE INDUSTRIES - CAMBRIDGE NORTH DIV,29 1/2 LITTLEWORTH RD,DOVER,STRAFFORD,NH,03820,29 1/2 LITTLEWORTH RD DOVER NH 3820,43.19,-70.896,NO,Primary Metals,LEAD,YES,PBT,YES,1,YES,,PACE INDUSTRIES LLC
2018,IRVING OIL TERMINALS INC,50 PREBLE WAY,PORTSMOUTH,ROCKINGHAM,NH,03801,50 PREBLE WAY PORTSMOUTH NH 3801,43.0901,-70.76689,NO,Petroleum Bulk Terminals,NAPHTHALENE,YES,TRI,NO,0,YES,PRODUCTION,IRVING OIL TERMINALS INC
2018,AMPHENOL APC INC,91 NORTHEASTERN BLVD,NASHUA,HILLSBOROUGH,NH,03062,91 NORTHEASTERN BLVD NASHUA NH 3062,42.738005,-71.489815,NO,Computers and Electronic Products,CERTAIN GLYCOL ETHERS,YES,TRI,NO,0,NO,PRODUCTION,AMPHENOL CORP
2018,IRVING OIL TERMINALS INC,50 PREBLE WAY,PORTSMOUTH,ROCKINGHAM,NH,03801,50 PREBLE WAY PORTSMOUTH NH 3801,43.0901,-70.76689,NO,Petroleum Bulk Terminals,"BENZO(G,H,I)PERYLENE",YES,PBT,NO,0,NO,PRODUCTION,IRVING OIL TERMINALS INC
2018,BURNDY LLC,150 BURNDY RD,LITTLETON,GRAFTON,NH,03561,150 BURNDY RD LITTLETON NH 3561,44.30085,-71.79362,NO,Electrical Equipment,CHROMIUM,YES,TRI,YES,1,NO,PRODUCTION,HUBBELL INC
2018,"AGILE MAGNETICS,INC",24 CHENELL DR,CONCORD,MERRIMACK,NH,03301,24 CHENELL DR CONCORD NH 3301,43.20839,-71.49599,NO,Computers and Electronic Products,LEAD,YES,PBT,YES,1,YES,PRODUCTION,STANDEX INTERNATIONAL CORP
2018,HEAT & CONTROL,339 COMMERCE WAY,PEMBROKE,MERRIMACK,NH,03275,339 COMMERCE WAY PEMBROKE NH 3275,43.18795,-71.480674,NO,Machinery,CHROMIUM,YES,TRI,YES,1,NO,PRODUCTION,HEAT & CONTROL INC
2018,MORGAN ADVANCED CERAMICS INC,4 PARK AVE,HUDSON,HILLSBOROUGH,NH,03051,4 PARK AVE HUDSON NH 3051,42.78213,-71.38215,NO,Chemicals,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""",YES,TRI,NO,0,NO,ACTIVITY,MORGAN ADVANCED CERAMICS INC
2018,STURM RUGER & CO INC,411 SUNAPEE ST,NEWPORT,SULLIVAN,NH,03773,411 SUNAPEE ST NEWPORT NH 3773,43.379828,-72.152415,NO,Fabricated Metals,COPPER,NO,TRI,YES,1,NO,PRODUCTION,STURM RUGER & CO INC
2018,IRVING OIL TERMINALS INC,50 PREBLE WAY,PORTSMOUTH,ROCKINGHAM,NH,03801,50 PREBLE WAY PORTSMOUTH NH 3801,43.0901,-70.76689,NO,Petroleum Bulk Terminals,POLYCYCLIC AROMATIC COMPOUNDS,YES,PBT,NO,0,YES,PRODUCTION,IRVING OIL TERMINALS INC
2018,NORTHEAST LANTERN LTD,6 COMMERCE WAY,EXETER,ROCKINGHAM,NH,03833,6 COMMERCE WAY EXETER NH 3833,42.99539,-70.96442,NO,Electrical Equipment,COPPER,NO,TRI,YES,1,NO,,NA
2018,HUTCHINSON SEALING SYSTEMS INC,171 RT 85,NEWFIELDS,ROCKINGHAM,NH,03856,171 RT 85 NEWFIELDS NH 3856,43.02375,-70.94331,NO,Plastics and Rubber,ZINC COMPOUNDS,NO,TRI,YES,1,NO,ACTIVITY,HUTCHINSON SEALING SYSTEMS INC
2018,FREUDENBERG-NOK SEALING TECHNOLOGIES,450 PLEASANT ST,BRISTOL,GRAFTON,NH,03222,450 PLEASANT ST BRISTOL NH 3222,43.585476,-71.750525,NO,Miscellaneous Manufacturing,CHROMIUM,YES,TRI,YES,1,NO,PRODUCTION,FREUDENBERG-NOK GENERAL PTNR
2018,SCHILLER STATION,400 GOSLING RD,PORTSMOUTH,ROCKINGHAM,NH,03801,400 GOSLING RD PORTSMOUTH NH 3801,43.09726,-70.783801,NO,Electric Utilities,DIOXIN AND DIOXIN-LIKE COMPOUNDS,YES,Dioxin,NO,0,YES,PRODUCTION,GSP SCHILLER LLC
2018,TURBOCAM INC,38 REDEMPTION DR,BARRINGTON,STRAFFORD,NH,03825,38 REDEMPTION DR BARRINGTON NH 3825,43.216265,-71.01946,NO,Fabricated Metals,NITRATE COMPOUNDS,NO,TRI,NO,0,NO,PRODUCTION,NA
2018,HITCHINER MANUFACTURING CO INC (AUTOMATED CASTING FACILITY),1 SCARBOROUGH LN,MILFORD,HILLSBOROUGH,NH,03055,1 SCARBOROUGH LN MILFORD NH 3055,42.83577,-71.70675,NO,Primary Metals,NICKEL,YES,TRI,YES,1,YES,PRODUCTION,HITCHINER MANUFACTURING CO INC
2018,GENERAL CABLE INDUSTRIES INC,345 MCGREGOR ST,MANCHESTER,HILLSBOROUGH,NH,03102,345 MCGREGOR ST MANCHESTER NH 3102,42.99397,-71.47268,NO,Electrical Equipment,ANTIMONY COMPOUNDS,YES,TRI,YES,1,NO,PRODUCTION,GENERAL CABLE CORP
2018,WAKEFIELD THERMAL SOLUTIONS INC,33 BRIDGE ST,PELHAM,HILLSBOROUGH,NH,03076,33 BRIDGE ST PELHAM NH 3076,42.70374,-71.31497,NO,Primary Metals,COPPER,NO,TRI,YES,1,NO,ACTIVITY,THE HEICO COS LLC
2018,AERODYNAMICS INC,142 BATCHELDER RD,SEABROOK,ROCKINGHAM,NH,03874,142 BATCHELDER RD SEABROOK NH 3874,42.886709,-70.886393,NO,Fabricated Metals,LEAD,YES,PBT,YES,1,YES,PRODUCTION,NA
2018,SIG SAUER INC,72 PEASE BLVD,NEWINGTON,ROCKINGHAM,NH,03801,72 PEASE BLVD NEWINGTON NH 3801,43.087945,-70.811239,NO,Fabricated Metals,LEAD COMPOUNDS,YES,PBT,YES,1,NO,PRODUCTION,NA
2018,HEAT & CONTROL,339 COMMERCE WAY,PEMBROKE,MERRIMACK,NH,03275,339 COMMERCE WAY PEMBROKE NH 3275,43.18795,-71.480674,NO,Machinery,NICKEL,YES,TRI,YES,1,YES,PRODUCTION,HEAT & CONTROL INC
2018,GE CO,9 INDUSTRIAL PARK DR,HOOKSETT,MERRIMACK,NH,03106,9 INDUSTRIAL PARK DR HOOKSETT NH 3106,43.061504,-71.447873,NO,Transportation Equipment,NITRATE COMPOUNDS,NO,TRI,NO,0,NO,PRODUCTION,GENERAL ELECTRIC CO (GE CO)
2018,SIG SAUER INC,72 PEASE BLVD,NEWINGTON,ROCKINGHAM,NH,03801,72 PEASE BLVD NEWINGTON NH 3801,43.087945,-70.811239,NO,Fabricated Metals,COPPER,NO,TRI,YES,1,NO,PRODUCTION,NA
2018,PSI MOLDED PLASTICS FORMERLY KNOWN AS GI PLASTEK,5 WICKERS DR,WOLFEBORO,CARROLL,NH,03894,5 WICKERS DR WOLFEBORO NH 3894,43.60513,-71.212805,NO,Plastics and Rubber,ANTIMONY  and ANTIMONY COMPOUNDS,YES,TRI,YES,1,NO,PRODUCTION,PSI MOLDED PLASTICS NEW HAMPSHIRE INC
2018,PIKE INDUSTRIES INC - PORTSMOUTH,650 PEVERLY ROAD,PORTSMOUTH,ROCKINGHAM,NH,03801,650 PEVERLY ROAD PORTSMOUTH NH 3801,43.047651,-70.776816,NO,Petroleum,LEAD,YES,PBT,YES,1,YES,PRODUCTION,CRH AMERICAS INC
2018,WHELEN ENGINEERING,99 CEDA RD,CHARLESTOWN,SULLIVAN,NH,03603,99 CEDA RD CHARLESTOWN NH 3603,43.26615,-72.4033,NO,Transportation Equipment,LEAD,YES,PBT,YES,1,YES,PRODUCTION,WHELEN ENGINEERING
2018,KENT NUTRITION GROUP INC,520 HALL ST,BOW,MERRIMACK,NH,03304,520 HALL ST BOW NH 3304,43.17354,-71.52628,NO,Food,MANGANESE COMPOUNDS,YES,TRI,YES,1,NO,,KENT CORP
2018,PARKER HANNIFIN CORP CHOMERICS DIV,16 FLAGSTONE DR,HUDSON,HILLSBOROUGH,NH,03051,16 FLAGSTONE DR HUDSON NH 3051,42.73075,-71.43103,NO,Computers and Electronic Products,TOLUENE,YES,TRI,NO,0,NO,ACTIVITY,PARKER HANNIFIN CORP
2018,HYPERTHERM INC,100 ETNA RD,LEBANON,GRAFTON,NH,03766,100 ETNA RD LEBANON NH 3766,43.66493,-72.24163,NO,Fabricated Metals,COPPER,NO,TRI,YES,1,NO,PRODUCTION,HYPERTHERM INC
2018,CIRCUIT TECHNOLOGY INC,6A CONTINENTAL BLVD,MERRIMACK,HILLSBOROUGH,NH,03054,6A CONTINENTAL BLVD MERRIMACK NH 3054,42.838,-71.5,NO,Computers and Electronic Products,LEAD,YES,PBT,YES,1,YES,PRODUCTION,NA
2018,MARMON UTILITY LLC,53 OLD WILTON RD,MILFORD,HILLSBOROUGH,NH,03055,53 OLD WILTON RD MILFORD NH 3055,42.83947,-71.69331,NO,Electrical Equipment,COPPER,NO,TRI,YES,1,NO,PRODUCTION,MARMON WIRE & CABLE INC
2018,APC PAPER CO,130 SULLIVAN ST,CLAREMONT,SULLIVAN,NH,03743,130 SULLIVAN ST CLAREMONT NH 3743,43.37349,-72.34598,NO,Paper,"BENZO(G,H,I)PERYLENE",YES,PBT,NO,0,NO,PRODUCTION,APC PAPER CO
2018,SANMINA CORP,140 ABBY RD,MANCHESTER,HILLSBOROUGH,NH,03103,140 ABBY RD MANCHESTER NH 3103,42.93523,-71.42323,NO,Computers and Electronic Products,LEAD,YES,PBT,YES,1,YES,PRODUCTION,SANMINA CORP
2018,RAPID SHEET METAL,15 CHARRON AVE,NASHUA,HILLSBOROUGH,NH,03063,15 CHARRON AVE NASHUA NH 3063,42.777893,-71.500584,NO,Fabricated Metals,ALUMINUM (FUME OR DUST),NO,TRI,NO,4,NO,PRODUCTION,NA
